answer,query_text,program_text,filename
no,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,49.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,49.jpg
yes,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,49.jpg
yes,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,49.jpg
yes,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,49.jpg
yes,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,49.jpg
no,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,49.jpg
yes,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,49.jpg
circle,What is the shape of the farthest object to the green object?,filter green <nxt> relate farthest <nxt> query shape,50.jpg
3,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,50.jpg
rectangle,What is the shape of the farthest object to the blue object?,filter blue <nxt> relate farthest <nxt> query shape,50.jpg
rectangle,What is the shape of the farthest object to the blue object?,filter blue <nxt> relate farthest <nxt> query shape,50.jpg
circle,What is the shape of the closest object to the gray object?,filter gray <nxt> relate closest <nxt> query shape,50.jpg
circle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,50.jpg
rectangle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,50.jpg
circle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,50.jpg
3,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,50.jpg
3,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,50.jpg
no,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,50.jpg
yes,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,50.jpg
yes,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,50.jpg
yes,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,50.jpg
no,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,50.jpg
no,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,50.jpg
no,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,50.jpg
yes,Is there a green object on the top?,filter green <nxt> query position <nxt> isTop,50.jpg
circle,What is the shape of the red of the object?,filter red <nxt> query shape,50.jpg
no,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,50.jpg
3,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,51.jpg
circle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,51.jpg
rectangle,What is the shape of the closest object to the green object?,filter green <nxt> relate closest <nxt> query shape,51.jpg
3,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,51.jpg
circle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,51.jpg
circle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,51.jpg
3,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,51.jpg
3,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,51.jpg
3,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,51.jpg
3,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,51.jpg
yes,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,51.jpg
circle,What is the shape of the blue of the object?,filter blue <nxt> query shape,51.jpg
rectangle,What is the shape of the orange of the object?,filter orange <nxt> query shape,51.jpg
circle,What is the shape of the blue of the object?,filter blue <nxt> query shape,51.jpg
yes,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,51.jpg
yes,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,51.jpg
yes,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,51.jpg
yes,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,51.jpg
rectangle,What is the shape of the green of the object?,filter green <nxt> query shape,51.jpg
yes,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,51.jpg
circle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,52.jpg
circle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,52.jpg
circle,What is the shape of the closest object to the green object?,filter green <nxt> relate closest <nxt> query shape,52.jpg
5,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,52.jpg
1,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,52.jpg
5,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,52.jpg
5,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,52.jpg
circle,What is the shape of the closest object to the gray object?,filter gray <nxt> relate closest <nxt> query shape,52.jpg
circle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,52.jpg
5,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,52.jpg
no,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,52.jpg
circle,What is the shape of the red of the object?,filter red <nxt> query shape,52.jpg
rectangle,What is the shape of the yellow of the object?,filter yellow <nxt> query shape,52.jpg
circle,What is the shape of the red of the object?,filter red <nxt> query shape,52.jpg
yes,Is there a green object on the left?,filter green <nxt> query positions <nxt> isLeft,52.jpg
circle,What is the shape of the gray of the object?,filter gray <nxt> query shape,52.jpg
no,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,52.jpg
yes,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,52.jpg
no,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,52.jpg
yes,Is there a green object on the top?,filter green <nxt> query position <nxt> isTop,52.jpg
rectangle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,53.jpg
circle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,53.jpg
rectangle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,53.jpg
circle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,53.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,53.jpg
circle,What is the shape of the farthest object to the yellow object?,filter yellow <nxt> relate farthest <nxt> query shape,53.jpg
4,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,53.jpg
4,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,53.jpg
2,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,53.jpg
circle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,53.jpg
yes,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,53.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,53.jpg
yes,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,53.jpg
no,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,53.jpg
yes,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,53.jpg
circle,What is the shape of the gray of the object?,filter gray <nxt> query shape,53.jpg
yes,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,53.jpg
yes,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,53.jpg
circle,What is the shape of the orange of the object?,filter orange <nxt> query shape,53.jpg
yes,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,53.jpg
4,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,54.jpg
circle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,54.jpg
4,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,54.jpg
2,How many objects of the shape as that of the red are there?,filter red <nxt> query shape <nxt> filter <nxt> count,54.jpg
circle,What is the shape of the closest object to the green object?,filter green <nxt> relate closest <nxt> query shape,54.jpg
4,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,54.jpg
rectangle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,54.jpg
4,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,54.jpg
4,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,54.jpg
circle,What is the shape of the closest object to the green object?,filter green <nxt> relate closest <nxt> query shape,54.jpg
yes,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,54.jpg
yes,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,54.jpg
circle,What is the shape of the red of the object?,filter red <nxt> query shape,54.jpg
yes,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,54.jpg
no,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,54.jpg
yes,Is there a green object on the left?,filter green <nxt> query positions <nxt> isLeft,54.jpg
yes,Is there a green object on the top?,filter green <nxt> query position <nxt> isTop,54.jpg
no,Is there a gray object on the left?,filter gray <nxt> query positions <nxt> isLeft,54.jpg
yes,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,54.jpg
yes,Is there a green object on the left?,filter green <nxt> query positions <nxt> isLeft,54.jpg
circle,What is the shape of the closest object to the gray object?,filter gray <nxt> relate closest <nxt> query shape,55.jpg
4,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,55.jpg
4,How many objects of the shape as that of the red are there?,filter red <nxt> query shape <nxt> filter <nxt> count,55.jpg
rectangle,What is the shape of the closest object to the green object?,filter green <nxt> relate closest <nxt> query shape,55.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,55.jpg
rectangle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,55.jpg
rectangle,What is the shape of the farthest object to the green object?,filter green <nxt> relate farthest <nxt> query shape,55.jpg
rectangle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,55.jpg
4,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,55.jpg
rectangle,What is the shape of the farthest object to the yellow object?,filter yellow <nxt> relate farthest <nxt> query shape,55.jpg
yes,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,55.jpg
rectangle,What is the shape of the orange of the object?,filter orange <nxt> query shape,55.jpg
rectangle,What is the shape of the green of the object?,filter green <nxt> query shape,55.jpg
yes,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,55.jpg
rectangle,What is the shape of the green of the object?,filter green <nxt> query shape,55.jpg
yes,Is there a gray object on the left?,filter gray <nxt> query positions <nxt> isLeft,55.jpg
circle,What is the shape of the yellow of the object?,filter yellow <nxt> query shape,55.jpg
yes,Is there a green object on the top?,filter green <nxt> query position <nxt> isTop,55.jpg
yes,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,55.jpg
yes,Is there a gray object on the left?,filter gray <nxt> query positions <nxt> isLeft,55.jpg
3,How many objects of the shape as that of the red are there?,filter red <nxt> query shape <nxt> filter <nxt> count,56.jpg
3,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,56.jpg
circle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,56.jpg
circle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,56.jpg
circle,What is the shape of the closest object to the green object?,filter green <nxt> relate closest <nxt> query shape,56.jpg
circle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,56.jpg
circle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,56.jpg
rectangle,What is the shape of the farthest object to the green object?,filter green <nxt> relate farthest <nxt> query shape,56.jpg
3,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,56.jpg
rectangle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,56.jpg
circle,What is the shape of the gray of the object?,filter gray <nxt> query shape,56.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,56.jpg
yes,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,56.jpg
rectangle,What is the shape of the yellow of the object?,filter yellow <nxt> query shape,56.jpg
no,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,56.jpg
no,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,56.jpg
circle,What is the shape of the orange of the object?,filter orange <nxt> query shape,56.jpg
no,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,56.jpg
yes,Is there a green object on the left?,filter green <nxt> query positions <nxt> isLeft,56.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,56.jpg
rectangle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,57.jpg
rectangle,What is the shape of the closest object to the green object?,filter green <nxt> relate closest <nxt> query shape,57.jpg
5,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,57.jpg
circle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,57.jpg
5,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,57.jpg
rectangle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,57.jpg
5,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,57.jpg
rectangle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,57.jpg
rectangle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,57.jpg
rectangle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,57.jpg
no,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,57.jpg
no,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,57.jpg
circle,What is the shape of the gray of the object?,filter gray <nxt> query shape,57.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,57.jpg
no,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,57.jpg
yes,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,57.jpg
yes,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,57.jpg
circle,What is the shape of the gray of the object?,filter gray <nxt> query shape,57.jpg
no,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,57.jpg
yes,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,57.jpg
circle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,58.jpg
circle,What is the shape of the closest object to the orange object?,filter orange <nxt> relate closest <nxt> query shape,58.jpg
6,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,58.jpg
circle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,58.jpg
circle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,58.jpg
circle,What is the shape of the farthest object to the blue object?,filter blue <nxt> relate farthest <nxt> query shape,58.jpg
circle,What is the shape of the closest object to the gray object?,filter gray <nxt> relate closest <nxt> query shape,58.jpg
circle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,58.jpg
circle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,58.jpg
circle,What is the shape of the closest object to the gray object?,filter gray <nxt> relate closest <nxt> query shape,58.jpg
circle,What is the shape of the gray of the object?,filter gray <nxt> query shape,58.jpg
yes,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,58.jpg
yes,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,58.jpg
circle,What is the shape of the orange of the object?,filter orange <nxt> query shape,58.jpg
yes,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,58.jpg
no,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,58.jpg
yes,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,58.jpg
circle,What is the shape of the orange of the object?,filter orange <nxt> query shape,58.jpg
circle,What is the shape of the red of the object?,filter red <nxt> query shape,58.jpg
circle,What is the shape of the gray of the object?,filter gray <nxt> query shape,58.jpg
4,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,59.jpg
rectangle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,59.jpg
circle,What is the shape of the closest object to the gray object?,filter gray <nxt> relate closest <nxt> query shape,59.jpg
circle,What is the shape of the farthest object to the yellow object?,filter yellow <nxt> relate farthest <nxt> query shape,59.jpg
4,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,59.jpg
circle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,59.jpg
circle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,59.jpg
4,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,59.jpg
4,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,59.jpg
rectangle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,59.jpg
no,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,59.jpg
no,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,59.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,59.jpg
no,Is there a green object on the top?,filter green <nxt> query position <nxt> isTop,59.jpg
circle,What is the shape of the yellow of the object?,filter yellow <nxt> query shape,59.jpg
circle,What is the shape of the green of the object?,filter green <nxt> query shape,59.jpg
circle,What is the shape of the green of the object?,filter green <nxt> query shape,59.jpg
no,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,59.jpg
yes,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,59.jpg
no,Is there a yellow object on the left?,filter yellow <nxt> query positions <nxt> isLeft,59.jpg
5,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,60.jpg
1,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,60.jpg
circle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,60.jpg
1,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,60.jpg
circle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,60.jpg
5,How many objects of the shape as that of the red are there?,filter red <nxt> query shape <nxt> filter <nxt> count,60.jpg
circle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,60.jpg
5,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,60.jpg
rectangle,What is the shape of the farthest object to the blue object?,filter blue <nxt> relate farthest <nxt> query shape,60.jpg
circle,What is the shape of the closest object to the blue object?,filter blue <nxt> relate closest <nxt> query shape,60.jpg
yes,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,60.jpg
no,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,60.jpg
circle,What is the shape of the gray of the object?,filter gray <nxt> query shape,60.jpg
yes,Is there a green object on the left?,filter green <nxt> query positions <nxt> isLeft,60.jpg
yes,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,60.jpg
yes,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,60.jpg
circle,What is the shape of the green of the object?,filter green <nxt> query shape,60.jpg
yes,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,60.jpg
circle,What is the shape of the green of the object?,filter green <nxt> query shape,60.jpg
no,Is there a gray object on the left?,filter gray <nxt> query positions <nxt> isLeft,60.jpg
circle,What is the shape of the closest object to the orange object?,filter orange <nxt> relate closest <nxt> query shape,61.jpg
circle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,61.jpg
5,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,61.jpg
5,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,61.jpg
rectangle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,61.jpg
rectangle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,61.jpg
circle,What is the shape of the closest object to the gray object?,filter gray <nxt> relate closest <nxt> query shape,61.jpg
rectangle,What is the shape of the closest object to the green object?,filter green <nxt> relate closest <nxt> query shape,61.jpg
rectangle,What is the shape of the closest object to the green object?,filter green <nxt> relate closest <nxt> query shape,61.jpg
5,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,61.jpg
circle,What is the shape of the yellow of the object?,filter yellow <nxt> query shape,61.jpg
circle,What is the shape of the blue of the object?,filter blue <nxt> query shape,61.jpg
no,Is there a blue object on the left?,filter blue <nxt> query positions <nxt> isLeft,61.jpg
circle,What is the shape of the green of the object?,filter green <nxt> query shape,61.jpg
yes,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,61.jpg
no,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,61.jpg
yes,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,61.jpg
no,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,61.jpg
yes,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,61.jpg
circle,What is the shape of the gray of the object?,filter gray <nxt> query shape,61.jpg
4,How many objects of the shape as that of the red are there?,filter red <nxt> query shape <nxt> filter <nxt> count,62.jpg
4,How many objects of the shape as that of the red are there?,filter red <nxt> query shape <nxt> filter <nxt> count,62.jpg
circle,What is the shape of the farthest object to the blue object?,filter blue <nxt> relate farthest <nxt> query shape,62.jpg
circle,What is the shape of the farthest object to the green object?,filter green <nxt> relate farthest <nxt> query shape,62.jpg
4,How many objects of the shape as that of the blue are there?,filter blue <nxt> query shape <nxt> filter <nxt> count,62.jpg
rectangle,What is the shape of the closest object to the green object?,filter green <nxt> relate closest <nxt> query shape,62.jpg
circle,What is the shape of the farthest object to the blue object?,filter blue <nxt> relate farthest <nxt> query shape,62.jpg
circle,What is the shape of the farthest object to the yellow object?,filter yellow <nxt> relate farthest <nxt> query shape,62.jpg
circle,What is the shape of the closest object to the orange object?,filter orange <nxt> relate closest <nxt> query shape,62.jpg
rectangle,What is the shape of the closest object to the gray object?,filter gray <nxt> relate closest <nxt> query shape,62.jpg
rectangle,What is the shape of the gray of the object?,filter gray <nxt> query shape,62.jpg
yes,Is there a green object on the left?,filter green <nxt> query positions <nxt> isLeft,62.jpg
yes,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,62.jpg
circle,What is the shape of the blue of the object?,filter blue <nxt> query shape,62.jpg
no,Is there a gray object on the top?,filter gray <nxt> query position <nxt> isTop,62.jpg
yes,Is there a green object on the left?,filter green <nxt> query positions <nxt> isLeft,62.jpg
rectangle,What is the shape of the gray of the object?,filter gray <nxt> query shape,62.jpg
circle,What is the shape of the blue of the object?,filter blue <nxt> query shape,62.jpg
circle,What is the shape of the blue of the object?,filter blue <nxt> query shape,62.jpg
yes,Is there a gray object on the left?,filter gray <nxt> query positions <nxt> isLeft,62.jpg
rectangle,What is the shape of the closest object to the orange object?,filter orange <nxt> relate closest <nxt> query shape,63.jpg
circle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,63.jpg
rectangle,What is the shape of the farthest object to the green object?,filter green <nxt> relate farthest <nxt> query shape,63.jpg
rectangle,What is the shape of the closest object to the orange object?,filter orange <nxt> relate closest <nxt> query shape,63.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,63.jpg
circle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,63.jpg
circle,What is the shape of the closest object to the green object?,filter green <nxt> relate closest <nxt> query shape,63.jpg
rectangle,What is the shape of the farthest object to the orange object?,filter orange <nxt> relate farthest <nxt> query shape,63.jpg
rectangle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,63.jpg
rectangle,What is the shape of the farthest object to the gray object?,filter gray <nxt> relate farthest <nxt> query shape,63.jpg
no,Is there a green object on the top?,filter green <nxt> query position <nxt> isTop,63.jpg
no,Is there a gray object on the left?,filter gray <nxt> query positions <nxt> isLeft,63.jpg
rectangle,What is the shape of the red of the object?,filter red <nxt> query shape,63.jpg
rectangle,What is the shape of the green of the object?,filter green <nxt> query shape,63.jpg
no,Is there a blue object on the top?,filter blue <nxt> query position <nxt> isTop,63.jpg
no,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,63.jpg
no,Is there a gray object on the left?,filter gray <nxt> query positions <nxt> isLeft,63.jpg
yes,Is there a red object on the top?,filter red <nxt> query position <nxt> isTop,63.jpg
no,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,63.jpg
no,Is there a gray object on the left?,filter gray <nxt> query positions <nxt> isLeft,63.jpg
5,How many objects of the shape as that of the red are there?,filter red <nxt> query shape <nxt> filter <nxt> count,64.jpg
circle,What is the shape of the farthest object to the green object?,filter green <nxt> relate farthest <nxt> query shape,64.jpg
rectangle,What is the shape of the closest object to the red object?,filter red <nxt> relate closest <nxt> query shape,64.jpg
5,How many objects of the shape as that of the yellow are there?,filter yellow <nxt> query shape <nxt> filter <nxt> count,64.jpg
rectangle,What is the shape of the closest object to the yellow object?,filter yellow <nxt> relate closest <nxt> query shape,64.jpg
5,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,64.jpg
circle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,64.jpg
5,How many objects of the shape as that of the orange are there?,filter orange <nxt> query shape <nxt> filter <nxt> count,64.jpg
circle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,64.jpg
rectangle,What is the shape of the closest object to the orange object?,filter orange <nxt> relate closest <nxt> query shape,64.jpg
yes,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,64.jpg
no,Is there a orange object on the top?,filter orange <nxt> query position <nxt> isTop,64.jpg
yes,Is there a green object on the top?,filter green <nxt> query position <nxt> isTop,64.jpg
rectangle,What is the shape of the yellow of the object?,filter yellow <nxt> query shape,64.jpg
no,Is there a red object on the left?,filter red <nxt> query positions <nxt> isLeft,64.jpg
yes,Is there a gray object on the left?,filter gray <nxt> query positions <nxt> isLeft,64.jpg
yes,Is there a yellow object on the top?,filter yellow <nxt> query position <nxt> isTop,64.jpg
rectangle,What is the shape of the green of the object?,filter green <nxt> query shape,64.jpg
yes,Is there a orange object on the left?,filter orange <nxt> query positions <nxt> isLeft,64.jpg
rectangle,What is the shape of the green of the object?,filter green <nxt> query shape,64.jpg
circle,What is the shape of the farthest object to the red object?,filter red <nxt> relate farthest <nxt> query shape,65.jpg
3,How many objects of the shape as that of the green are there?,filter green <nxt> query shape <nxt> filter <nxt> count,65.jpg
3,How many objects of the shape as that of the gray are there?,filter gray <nxt> query shape <nxt> filter <nxt> count,65.jpg
